Column,update_date,update_hour,Update_datetime,Country,Province_City,State_Region,Latitude,Longitude,Confirmed,Deaths,Recovered
0,22/01/2020,17:00:00,22/01/2020 17:00,China,Unknown,Anhui,35.000.074,104.999.927,1,0,0
1,22/01/2020,17:00:00,22/01/2020 17:00,China,Unknown,Beijing,35.000.074,104.999.927,14,0,0
2,22/01/2020,17:00:00,22/01/2020 17:00,China,Unknown,Chongqing,35.000.074,104.999.927,6,0,0
3,22/01/2020,17:00:00,22/01/2020 17:00,China,Unknown,Fujian,35.000.074,104.999.927,1,0,0
4,22/01/2020,17:00:00,22/01/2020 17:00,China,Unknown,Gansu,35.000.074,104.999.927,0,0,0
5,22/01/2020,17:00:00,22/01/2020 17:00,China,Unknown,Guangdong,35.000.074,104.999.927,26,0,0
6,22/01/2020,17:00:00,22/01/2020 17:00,China,Unknown,Guangxi,35.000.074,104.999.927,2,0,0
7,22/01/2020,17:00:00,22/01/2020 17:00,China,Unknown,Guizhou,35.000.074,104.999.927,1,0,0
8,22/01/2020,17:00:00,22/01/2020 17:00,China,Unknown,Hainan,35.000.074,104.999.927,4,0,0
9,22/01/2020,17:00:00,22/01/2020 17:00,China,Unknown,Hebei,35.000.074,104.999.927,1,0,0
10,22/01/2020,17:00:00,22/01/2020 17:00,China,Unknown,Heilongjiang,35.000.074,104.999.927,0,0,0
11,22/01/2020,17:00:00,22/01/2020 17:00,China,Unknown,Henan,35.000.074,104.999.927,5,0,0
12,22/01/2020,17:00:00,22/01/2020 17:00,China,Unknown,Hubei,35.000.074,104.999.927,444,17,28
13,22/01/2020,17:00:00,22/01/2020 17:00,China,Unknown,Hunan,35.000.074,104.999.927,4,0,0
14,22/01/2020,17:00:00,22/01/2020 17:00,China,Unknown,Inner Mongolia,35.000.074,104.999.927,0,0,0
15,22/01/2020,17:00:00,22/01/2020 17:00,China,Unknown,Jiangsu,35.000.074,104.999.927,1,0,0
16,22/01/2020,17:00:00,22/01/2020 17:00,China,Unknown,Jiangxi,35.000.074,104.999.927,2,0,0
17,22/01/2020,17:00:00,22/01/2020 17:00,China,Unknown,Jilin,35.000.074,104.999.927,0,0,0
18,22/01/2020,17:00:00,22/01/2020 17:00,China,Unknown,Liaoning,35.000.074,104.999.927,2,0,0
19,22/01/2020,17:00:00,22/01/2020 17:00,China,Unknown,Ningxia,35.000.074,104.999.927,1,0,0
20,22/01/2020,17:00:00,22/01/2020 17:00,China,Unknown,Qinghai,35.000.074,104.999.927,0,0,0
21,22/01/2020,17:00:00,22/01/2020 17:00,China,Unknown,Shaanxi,35.000.074,104.999.927,0,0,0
22,22/01/2020,17:00:00,22/01/2020 17:00,China,Unknown,Shandong,35.000.074,104.999.927,2,0,0
23,22/01/2020,17:00:00,22/01/2020 17:00,China,Unknown,Shanghai,35.000.074,104.999.927,9,0,0
24,22/01/2020,17:00:00,22/01/2020 17:00,China,Unknown,Shanxi,35.000.074,104.999.927,1,0,0
25,22/01/2020,17:00:00,22/01/2020 17:00,China,Unknown,Sichuan,35.000.074,104.999.927,5,0,0
26,22/01/2020,17:00:00,22/01/2020 17:00,China,Unknown,Tianjin,35.000.074,104.999.927,4,0,0
27,22/01/2020,17:00:00,22/01/2020 17:00,China,Unknown,Tibet,35.000.074,104.999.927,0,0,0
28,22/01/2020,17:00:00,22/01/2020 17:00,China,Unknown,Xinjiang,35.000.074,104.999.927,0,0,0
29,22/01/2020,17:00:00,22/01/2020 17:00,China,Unknown,Yunnan,35.000.074,104.999.927,1,0,0
30,22/01/2020,17:00:00,22/01/2020 17:00,China,Unknown,Zhejiang,35.000.074,104.999.927,10,0,0
31,23/01/2020,17:00:00,23/01/2020 17:00,China,Unknown,Anhui,35.000.074,104.999.927,9,0,0
32,23/01/2020,17:00:00,23/01/2020 17:00,China,Unknown,Beijing,35.000.074,104.999.927,22,0,0
33,23/01/2020,17:00:00,23/01/2020 17:00,China,Unknown,Chongqing,35.000.074,104.999.927,9,0,0
34,23/01/2020,17:00:00,23/01/2020 17:00,China,Unknown,Fujian,35.000.074,104.999.927,5,0,0
35,23/01/2020,17:00:00,23/01/2020 17:00,China,Unknown,Gansu,35.000.074,104.999.927,2,0,0
36,23/01/2020,17:00:00,23/01/2020 17:00,China,Unknown,Guangdong,35.000.074,104.999.927,32,0,2
37,23/01/2020,17:00:00,23/01/2020 17:00,China,Unknown,Guangxi,35.000.074,104.999.927,5,0,0
38,23/01/2020,17:00:00,23/01/2020 17:00,China,Unknown,Guizhou,35.000.074,104.999.927,3,0,0
39,23/01/2020,17:00:00,23/01/2020 17:00,China,Unknown,Hainan,35.000.074,104.999.927,5,0,0
40,23/01/2020,17:00:00,23/01/2020 17:00,China,Unknown,Hebei,35.000.074,104.999.927,1,1,0
41,23/01/2020,17:00:00,23/01/2020 17:00,China,Unknown,Heilongjiang,35.000.074,104.999.927,2,0,0
42,23/01/2020,17:00:00,23/01/2020 17:00,China,Unknown,Henan,35.000.074,104.999.927,5,0,0
43,23/01/2020,17:00:00,23/01/2020 17:00,China,Unknown,Hubei,35.000.074,104.999.927,444,17,28
44,23/01/2020,17:00:00,23/01/2020 17:00,China,Unknown,Hunan,35.000.074,104.999.927,9,0,0
45,23/01/2020,17:00:00,23/01/2020 17:00,China,Unknown,Inner Mongolia,35.000.074,104.999.927,0,0,0
46,23/01/2020,17:00:00,23/01/2020 17:00,China,Unknown,Jiangsu,35.000.074,104.999.927,5,0,0
47,23/01/2020,17:00:00,23/01/2020 17:00,China,Unknown,Jiangxi,35.000.074,104.999.927,7,0,0
48,23/01/2020,17:00:00,23/01/2020 17:00,China,Unknown,Jilin,35.000.074,104.999.927,1,0,0
49,23/01/2020,17:00:00,23/01/2020 17:00,China,Unknown,Liaoning,35.000.074,104.999.927,3,0,0
50,23/01/2020,17:00:00,23/01/2020 17:00,China,Unknown,Ningxia,35.000.074,104.999.927,1,0,0
51,23/01/2020,17:00:00,23/01/2020 17:00,China,Unknown,Qinghai,35.000.074,104.999.927,0,0,0
52,23/01/2020,17:00:00,23/01/2020 17:00,China,Unknown,Shaanxi,35.000.074,104.999.927,3,0,0
53,23/01/2020,17:00:00,23/01/2020 17:00,China,Unknown,Shandong,35.000.074,104.999.927,6,0,0
54,23/01/2020,17:00:00,23/01/2020 17:00,China,Unknown,Shanghai,35.000.074,104.999.927,16,0,0
55,23/01/2020,17:00:00,23/01/2020 17:00,China,Unknown,Shanxi,35.000.074,104.999.927,1,0,0
56,23/01/2020,17:00:00,23/01/2020 17:00,China,Unknown,Sichuan,35.000.074,104.999.927,8,0,0
57,23/01/2020,17:00:00,23/01/2020 17:00,China,Unknown,Tianjin,35.000.074,104.999.927,4,0,0
58,23/01/2020,17:00:00,23/01/2020 17:00,China,Unknown,Tibet,35.000.074,104.999.927,0,0,0
59,23/01/2020,17:00:00,23/01/2020 17:00,China,Unknown,Xinjiang,35.000.074,104.999.927,2,0,0
60,23/01/2020,17:00:00,23/01/2020 17:00,China,Unknown,Yunnan,35.000.074,104.999.927,2,0,0
61,23/01/2020,17:00:00,23/01/2020 17:00,China,Unknown,Zhejiang,35.000.074,104.999.927,27,0,0
62,24/01/2020,17:00:00,24/01/2020 17:00,China,Unknown,Hubei,35.000.074,104.999.927,549,24,31
63,24/01/2020,17:00:00,24/01/2020 17:00,China,Unknown,Guangdong,35.000.074,104.999.927,53,0,2
64,24/01/2020,17:00:00,24/01/2020 17:00,China,Unknown,Zhejiang,35.000.074,104.999.927,43,0,1
65,24/01/2020,17:00:00,24/01/2020 17:00,China,Unknown,Beijing,35.000.074,104.999.927,36,0,1
66,24/01/2020,17:00:00,24/01/2020 17:00,China,Unknown,Chongqing,35.000.074,104.999.927,27,0,0
67,24/01/2020,17:00:00,24/01/2020 17:00,China,Unknown,Hunan,35.000.074,104.999.927,24,0,0
68,24/01/2020,17:00:00,24/01/2020 17:00,China,Unknown,Guangxi,35.000.074,104.999.927,23,0,0
69,24/01/2020,17:00:00,24/01/2020 17:00,China,Unknown,Shanghai,35.000.074,104.999.927,20,0,1
70,24/01/2020,17:00:00,24/01/2020 17:00,China,Unknown,Jiangxi,35.000.074,104.999.927,18,0,0
71,24/01/2020,17:00:00,24/01/2020 17:00,China,Unknown,Sichuan,35.000.074,104.999.927,15,0,0
72,24/01/2020,17:00:00,24/01/2020 17:00,China,Unknown,Shandong,35.000.074,104.999.927,15,0,0
73,24/01/2020,17:00:00,24/01/2020 17:00,China,Unknown,Anhui,35.000.074,104.999.927,15,0,0
74,24/01/2020,17:00:00,24/01/2020 17:00,China,Unknown,Fujian,35.000.074,104.999.927,10,0,0
75,24/01/2020,17:00:00,24/01/2020 17:00,China,Unknown,Henan,35.000.074,104.999.927,9,0,0
76,24/01/2020,17:00:00,24/01/2020 17:00,China,Unknown,Jiangsu,35.000.074,104.999.927,9,0,0
77,24/01/2020,17:00:00,24/01/2020 17:00,China,Unknown,Hainan,35.000.074,104.999.927,8,0,0
78,24/01/2020,17:00:00,24/01/2020 17:00,China,Unknown,Tianjin,35.000.074,104.999.927,8,0,0
79,24/01/2020,17:00:00,24/01/2020 17:00,China,Unknown,Yunnan,35.000.074,104.999.927,5,0,0
80,24/01/2020,17:00:00,24/01/2020 17:00,China,Unknown,Shaanxi,35.000.074,104.999.927,5,0,0
81,24/01/2020,17:00:00,24/01/2020 17:00,China,Unknown,Heilongjiang,35.000.074,104.999.927,4,1,0
82,24/01/2020,17:00:00,24/01/2020 17:00,China,Unknown,Liaoning,35.000.074,104.999.927,4,0,0
83,24/01/2020,17:00:00,24/01/2020 17:00,China,Unknown,Guizhou,35.000.074,104.999.927,3,0,0
84,24/01/2020,17:00:00,24/01/2020 17:00,China,Unknown,Jilin,35.000.074,104.999.927,3,0,0
85,24/01/2020,17:00:00,24/01/2020 17:00,China,Unknown,Ningxia,35.000.074,104.999.927,2,0,0
86,24/01/2020,17:00:00,24/01/2020 17:00,China,Unknown,Hebei,35.000.074,104.999.927,2,1,0
87,24/01/2020,17:00:00,24/01/2020 17:00,China,Unknown,Gansu,35.000.074,104.999.927,2,0,0
88,24/01/2020,17:00:00,24/01/2020 17:00,China,Unknown,Xinjiang,35.000.074,104.999.927,2,0,0
89,24/01/2020,17:00:00,24/01/2020 17:00,China,Unknown,Shanxi,35.000.074,104.999.927,1,0,0
90,24/01/2020,17:00:00,24/01/2020 17:00,China,Unknown,Inner Mongolia,35.000.074,104.999.927,1,0,0
91,24/01/2020,17:00:00,24/01/2020 17:00,China,Unknown,Qinghai,35.000.074,104.999.927,0,0,0
92,25/01/2020,17:00:00,25/01/2020 17:00,China,Unknown,Hubei,35.000.074,104.999.927,761,40,32
93,25/01/2020,17:00:00,25/01/2020 17:00,China,Unknown,Guangdong,35.000.074,104.999.927,78,0,2
94,25/01/2020,17:00:00,25/01/2020 17:00,China,Unknown,Zhejiang,35.000.074,104.999.927,62,0,1
95,25/01/2020,17:00:00,25/01/2020 17:00,China,Unknown,Chongqing,35.000.074,104.999.927,57,0,0
96,25/01/2020,17:00:00,25/01/2020 17:00,China,Unknown,Hunan,35.000.074,104.999.927,43,0,0
97,25/01/2020,17:00:00,25/01/2020 17:00,China,Unknown,Beijing,35.000.074,104.999.927,41,0,2
98,25/01/2020,17:00:00,25/01/2020 17:00,China,Unknown,Anhui,35.000.074,104.999.927,39,0,0
99,25/01/2020,17:00:00,25/01/2020 17:00,China,Unknown,Shanghai,35.000.074,104.999.927,33,0,1
100,25/01/2020,17:00:00,25/01/2020 17:00,China,Unknown,Henan,35.000.074,104.999.927,32,0,0
101,25/01/2020,17:00:00,25/01/2020 17:00,China,Unknown,Sichuan,35.000.074,104.999.927,28,0,0
102,25/01/2020,17:00:00,25/01/2020 17:00,China,Unknown,Shandong,35.000.074,104.999.927,27,0,0
103,25/01/2020,17:00:00,25/01/2020 17:00,China,Unknown,Guangxi,35.000.074,104.999.927,23,0,0
104,25/01/2020,17:00:00,25/01/2020 17:00,China,Unknown,Hainan,35.000.074,104.999.927,19,0,0
105,25/01/2020,17:00:00,25/01/2020 17:00,China,Unknown,Jiangxi,35.000.074,104.999.927,18,0,0
106,25/01/2020,17:00:00,25/01/2020 17:00,China,Unknown,Fujian,35.000.074,104.999.927,18,0,0
107,25/01/2020,17:00:00,25/01/2020 17:00,China,Unknown,Jiangsu,35.000.074,104.999.927,18,0,1
108,25/01/2020,17:00:00,25/01/2020 17:00,China,Unknown,Liaoning,35.000.074,104.999.927,17,0,0
109,25/01/2020,17:00:00,25/01/2020 17:00,China,Unknown,Shaanxi,35.000.074,104.999.927,15,0,0
110,25/01/2020,17:00:00,25/01/2020 17:00,China,Unknown,Yunnan,35.000.074,104.999.927,11,0,0
111,25/01/2020,17:00:00,25/01/2020 17:00,China,Unknown,Tianjin,35.000.074,104.999.927,10,0,0
112,25/01/2020,17:00:00,25/01/2020 17:00,China,Unknown,Heilongjiang,35.000.074,104.999.927,9,1,0
113,25/01/2020,17:00:00,25/01/2020 17:00,China,Unknown,Hebei,35.000.074,104.999.927,8,1,0
114,25/01/2020,17:00:00,25/01/2020 17:00,China,Unknown,Inner Mongolia,35.000.074,104.999.927,7,0,0
115,25/01/2020,17:00:00,25/01/2020 17:00,China,Unknown,Shanxi,35.000.074,104.999.927,6,0,0
116,25/01/2020,17:00:00,25/01/2020 17:00,China,Unknown,Guizhou,35.000.074,104.999.927,4,0,0
117,25/01/2020,17:00:00,25/01/2020 17:00,China,Unknown,Jilin,35.000.074,104.999.927,4,0,0
118,25/01/2020,17:00:00,25/01/2020 17:00,China,Unknown,Gansu,35.000.074,104.999.927,4,0,0
119,25/01/2020,17:00:00,25/01/2020 17:00,China,Unknown,Ningxia,35.000.074,104.999.927,3,0,0
120,25/01/2020,17:00:00,25/01/2020 17:00,China,Unknown,Xinjiang,35.000.074,104.999.927,3,0,0
121,25/01/2020,17:00:00,25/01/2020 17:00,China,Unknown,Qinghai,35.000.074,104.999.927,1,0,0
122,26/01/2020,16:00:00,26/01/2020 16:00,China,Unknown,Hubei,35.000.074,104.999.927,1058,52,42
123,26/01/2020,16:00:00,26/01/2020 16:00,China,Unknown,Guangdong,35.000.074,104.999.927,111,0,2
124,26/01/2020,16:00:00,26/01/2020 16:00,China,Unknown,Zhejiang,35.000.074,104.999.927,104,0,1
125,26/01/2020,16:00:00,26/01/2020 16:00,China,Unknown,Henan,35.000.074,104.999.927,83,1,0
126,26/01/2020,16:00:00,26/01/2020 16:00,China,Unknown,Chongqing,35.000.074,104.999.927,75,0,0
127,26/01/2020,16:00:00,26/01/2020 16:00,China,Unknown,Hunan,35.000.074,104.999.927,69,0,0
128,26/01/2020,16:00:00,26/01/2020 16:00,China,Unknown,Beijing,35.000.074,104.999.927,68,0,2
129,26/01/2020,16:00:00,26/01/2020 16:00,China,Unknown,Anhui,35.000.074,104.999.927,60,0,0
130,26/01/2020,16:00:00,26/01/2020 16:00,China,Unknown,Shandong,35.000.074,104.999.927,46,0,0
131,26/01/2020,16:00:00,26/01/2020 16:00,China,Unknown,Sichuan,35.000.074,104.999.927,44,0,0
132,26/01/2020,16:00:00,26/01/2020 16:00,China,Unknown,Shanghai,35.000.074,104.999.927,40,1,1
133,26/01/2020,16:00:00,26/01/2020 16:00,China,Unknown,Guangxi,35.000.074,104.999.927,36,0,0
134,26/01/2020,16:00:00,26/01/2020 16:00,China,Unknown,Jiangxi,35.000.074,104.999.927,36,0,0
135,26/01/2020,16:00:00,26/01/2020 16:00,China,Unknown,Fujian,35.000.074,104.999.927,35,0,0
136,26/01/2020,16:00:00,26/01/2020 16:00,China,Unknown,Jiangsu,35.000.074,104.999.927,33,0,1
137,26/01/2020,16:00:00,26/01/2020 16:00,China,Unknown,Hainan,35.000.074,104.999.927,22,0,0
138,26/01/2020,16:00:00,26/01/2020 16:00,China,Unknown,Shaanxi,35.000.074,104.999.927,22,0,0
139,26/01/2020,16:00:00,26/01/2020 16:00,China,Unknown,Liaoning,35.000.074,104.999.927,21,0,0
140,26/01/2020,16:00:00,26/01/2020 16:00,China,Unknown,Yunnan,35.000.074,104.999.927,16,0,0
