,Province,Latitude_prov,Longitude_prov
0,Anhui,32.0,117.0
1,Beijing,39.906217,116.3912757
2,Chongqing,29.5585712,106.5492822
3,Fujian,26.5450001,117.842778
4,Gansu,38.0000001,101.9999999
5,Guangdong,23.1357694,113.1982688
6,Guangxi,24.0,109.0
7,Guizhou,27.0,107.0
8,Hainan,19.2000001,109.5999999
9,Hebei,39.0000001,116.0
10,Heilongjiang,48.0000047,127.999992
11,Henan,34.0000001,113.9999999
12,Hong Kong,22.2793278,114.1628131
13,Hubei,31.15172525,112.87832224656043
14,Hunan,27.9995878,112.009538
15,Inner Mongolia,43.2443242,114.3251664
16,Jiangsu,33.0000001,119.9999999
17,Jiangxi,28.0,116.0
18,Jilin,42.9995032,125.9816054
19,Liaoning,40.9975197,122.9955469
20,Macau,22.1757605,113.5514142
21,Ningxia,37.0000001,105.9999999
22,Qinghai,35.40709525,95.95211573241954
23,Shaanxi,36.0,109.0
24,Shandong,36.0000001,118.9999999
25,Shanghai,31.2322758,121.4692071
26,Shanxi,37.0,112.0
27,Sichuan,30.5000001,102.4999999
28,Taiwan,23.9739374,120.9820179
29,Tianjin,39.1235635,117.1980785
30,Tibet,31.894343149999997,87.07813712706509
31,Washington,38.8948932,-77.0365529
32,Xinjiang,41.7574769,87.16738423046897
33,Yunnan,25.0,102.0
34,Zhejiang,29.0000001,119.9999999
35,Chicago,41.8755616,-87.6244212
36,Illinois,40.0796606,-89.4337288
37,California,36.7014631,-118.7559974
38,Arizona,34.395342,-111.7632755
39,Ontario,50.000678,-86.000977
40,New South Wales,-31.8759835,147.2869493
41,Victoria,-36.5986096,144.6780052
42,British Columbia,55.001251,-125.002441
43,Bavaria,48.9467562,11.4038717
44,Queensland,-22.1646782,144.5844903
45,South Australia,-30.5343665,135.6301212
46,Massachusetts,42.3788774,-72.032366
47,Wisconsin,44.4308975,-89.6884637
48,Cruise Ship,37.152472,127.068255
49,Texas,31.8160381,-99.5120986
50,Nebraska,41.7370229,-99.5873816
51,Quebec,52.4760892,-71.8258668
52,Western Australia,-25.2303005,121.0187246
53,Oregon,43.9792797,-120.737257
54,Rhode Island,41.7962409,-71.5992372
55,Tasmania,-42.14220555,146.6723517878467
56,New Hampshire,43.4849133,-71.6553992
57,Florida,27.7567667,-81.4639835
58,New York,40.7127281,-74.0060152
59,Georgia,32.3293809,-83.1137366
60,North Carolina,35.6729639,-79.0392919
61,Northern Territory,-19.8516101,133.2303375
62,New Jersey,40.0757384,-74.4041622
63,Nevada,39.5158825,-116.8537227
64,Tennessee,35.7730076,-86.2820081
65,Maryland,39.5162234,-76.9382069
66,Colorado,38.7251776,-105.6077167
67,Alberta,55.001251,-115.002136
68,Pennsylvania,40.9699889,-77.7278831
69,Kentucky,37.5726028,-85.1551411
70,Indiana,40.3270127,-86.1746933
71,Minnesota,45.9896587,-94.6113288
72,Connecticut,41.6500201,-72.7342163
73,South Carolina,33.6874388,-80.4363743
74,Utah,39.4225192,-111.7143584
75,Hawaii,21.2160437,-157.975203
76,Oklahoma,34.9550817,-97.2684063
77,Virginia,37.1232245,-78.4927721
78,District of Columbia,38.893661249999994,-76.98788325388196
79,Kansas,38.27312,-98.5821872
80,Missouri,38.7604815,-92.5617875
81,Vermont,44.5990718,-72.5002608
82,Iowa,41.9216734,-93.3122705
83,Lousiana,9.4198802,-74.2301547
84,Ohio,40.2253569,-82.6881395
85,Louisiana,30.8703881,-92.007126
86,Alaska,64.4459613,-149.680909
87,Arkansas,35.2048883,-92.4479108
88,Delaware,38.6920451,-75.4013315
89,Idaho,43.6447642,-114.0154071
90,Maine,45.709097,-68.8590201
91,Michigan,43.6211955,-84.6824346
92,Mississippi,32.9715645,-89.7348497
93,Montana,47.3752671,-109.6387579
94,New Mexico,34.5708167,-105.993007
95,North Dakota,47.6201461,-100.540737
96,South Dakota,44.6471761,-100.348761
97,West Virginia,38.4758406,-80.8408415
98,Wyoming,43.1700264,-107.5685348
99,Denmark,55.670249,10.3333283
100,Faroe Islands,62.0448724,-7.0322972
101,St Martin,48.5683066,6.7539988
102,Channel Islands,60.6167942,-145.7996671
103,New Brunswick,46.500283,-66.750183
104,Saint Barthelemy,17.9036287,-62.811568843006896
105,Gibraltar,36.10674695,-5.335277183483561
106,Australian Capital Territory,-35.4883502,149.0026942
107,United Kingdom,54.7023545,-3.2765753
108,French Polynesia,-16.03442485,-146.0490931059517
109,Manitoba,55.001251,-97.001038
110,Saskatchewan,55.5321257,-106.1412243
111,Alabama,33.2588817,-86.8295337
112,Puerto Rico,18.2214149,-66.41328179513847
113,United States,39.7837304,-100.4458825
114,French Guiana,4.0039882,-52.999998
115,Guam,13.450125700000001,144.75755102972062
116,Newfoundland and Labrador,53.8217327,-61.2295532
117,Prince Edward Island,46.503545349999996,-63.595517139914485
118,Mayotte,-12.823048,45.1520755
119,Netherlands,52.5001698,5.7480821
120,Nova Scotia,45.1960403,-63.1653789
121,Guadeloupe,16.2490067,-61.5650444
122,Curacao,12.1845,-68.9640875031406
123,Virgin Islands,17.789187,-64.7080574
124,Cayman Islands,19.5417212,-80.5667132
125,Reunion,-21.1309332,55.5265771
126,Aruba,12.5013629,-69.9618475
127,United States Virgin Islands,17.789187,-64.7080574
128,Montserrat,16.7417041,-62.1916844
129,Greenland,77.6192349,-42.8125967
130,New Caledonia,-20.454288599999998,164.55660583077983
131,Bermuda,32.3018217,-64.7603583
132,Sint Maarten,50.8381331,4.9237307
133,Isle of Man,54.2358167,-4.514598745698255
134,Northwest Territories,65.0000004,-118.0
