,State,Latitude,Longitude
0,China,35.000074,104.999927
1,Hong Kong,22.2793278,114.1628131
2,Macau,22.1757605,113.5514142
3,Taiwan,23.9739374,120.9820179
4,US,39.7837304,-100.4458825
5,Japan,36.5748441,139.2394179
6,Thailand,14.8971921,100.83273
7,South Korea,36.638392,127.6961188
8,Singapore,1.357107,103.8194992
9,Philippines,12.7503486,122.7312101
10,Malaysia,4.5693754,102.2656823
11,Vietnam,13.2904027,108.4265113
12,Australia,-24.7761086,134.755
13,Mexico,19.4326296,-99.1331785
14,Brazil,-10.3333333,-53.2
15,Colombia,2.8894434,-73.783892
16,France,46.603354,1.8883335
17,Nepal,28.1083929,84.0917139
18,Canada,61.0666922,-107.9917071
19,Cambodia,13.5066394,104.869423
20,Sri Lanka,7.5554942,80.7137847
21,Ivory Coast,7.9897371,-5.5679458
22,Germany,51.0834196,10.4234469
23,Finland,63.2467777,25.9209164
24,United Arab Emirates,24.0002488,53.9994829
25,India,22.3511148,78.6677428
26,Italy,42.6384261,12.674297
27,UK,54.7023545,-3.2765753
28,Russia,64.6863136,97.7453061
29,Sweden,59.6749712,14.5208584
30,Spain,39.3262345,-4.8380649
31,Belgium,50.6402809,4.6667145
32,Others,14.1688266,121.2415369
33,Egypt,26.2540493,29.2675469
34,Iran,32.6475314,54.5643516
35,Israel,31.5313113,34.8667654
36,Lebanon,33.8750629,35.843409
37,Iraq,33.0955793,44.1749775
38,Oman,21.0000287,57.0036901
39,Afghanistan,33.7680065,66.2385139
40,Bahrain,26.1551249,50.5344606
41,Kuwait,29.2733964,47.4979476
42,Austria,47.2000338,13.199959
43,Algeria,28.0000272,2.9999825
44,Croatia,45.5643442,17.0118954
45,Switzerland,46.7985624,8.2319736
46,Pakistan,30.3308401,71.247499
47,Georgia,32.3293809,-83.1137366
48,Greece,38.9953683,21.9877132
49,North Macedonia,41.6171214,21.7168387
50,Norway,64.5731537,11.52803643954819
51,Romania,45.9852129,24.6859225
52,Denmark,55.670249,10.3333283
53,Estonia,58.7523778,25.3319078
54,Netherlands,52.5001698,5.7480821
55,San Marino,43.9458623,12.458306
56,Azerbaijan,40.3936294,47.7872508
57,Belarus,53.4250605,27.6971358
58,Iceland,64.9841821,-18.1059013
59,Lithuania,55.3500003,23.7499997
